Table S1: DESeq2 differential gene expression analysis of Staphylococcus aureus USA300 wild type after AGXX® treatment ,,,,,,,,,,,,,
USA300-numbers,COL-numbers,Gene symbol,Operon,Regulon,Function,Base mean,A-value,M-value,Fold change,Standard error,Wald statistic,P-value,Adjusted P-value
USA300HOU_1482,-,USA300HOU_1482,-,-,phiSLT ORF71-like protein,2.92,1.55,0.28,1.22,1.21,0.23,0.815976952,8.41E-01
USA300HOU_1483,-,USA300HOU_1483,-,-,phiSLT ORF78-like protein,345.10,8.43,-0.36,0.78,0.22,-1.65,0.098745016,1.23E-01
USA300HOU_1485,-,USA300HOU_1485,-,-,putative phage regulatory protein,0.76,-0.40,1.15,2.21,1.55,0.74,0.460003419,5.07E-01
USA300HOU_1489,-,USA300HOU_1489,-,-,phi PVL ORF 30-like protein,1175.37,10.20,-0.19,0.88,0.17,-1.08,0.279464694,3.24E-01
USA300HOU_1490,SACOL0318,int1,int,-,"prophage L54a, integrase",164.59,7.36,-0.19,0.88,0.23,-0.83,0.40764568,4.56E-01
USA300HOU_1495,SACOL1536,rluB,rluB scpB scpA,-,ribosomal large subunit pseudouridine synthase B,2890.60,11.50,-0.39,0.76,0.13,-2.97,0.002994876,4.46E-03
USA300HOU_1496,SACOL1538,scpA,rluB scpB scpA,-,hypothetical protein,2152.77,11.07,-0.35,0.79,0.14,-2.56,0.010437463,1.47E-02
USA300HOU_1500,SACOL1542,nudF,nudF,-,MutT/nudix family protein,383.92,8.58,0.25,1.19,0.18,1.41,0.157194567,1.90E-01
USA300HOU_1502,SACOL1544,USA300HOU_1502,SACOL1544 SACOL1545,-,hypothetical protein,91.69,6.52,-0.65,0.64,0.32,-2.02,0.043251125,5.65E-02
USA300HOU_1506,-,USA300HOU_1506,-,-,hypothetical protein,2.54,1.34,-2.56,0.17,1.36,-1.89,0.059165266,7.57E-02
USA300HOU_1509,SACOL1551,malA,malA malR,CcpA,"alpha-D-1,4-glucosidase",2057.47,11.01,0.55,1.46,0.26,2.11,0.034943978,4.63E-02
USA300HOU_1514,SACOL1556,USA300HOU_1514,SACOL1556,-,hypothetical protein,86.26,6.43,-0.66,0.63,0.34,-1.93,0.053647217,6.90E-02
USA300HOU_1517,SACOL1560,bfmBB,bfmBB bfmAB bfmAA lpdA,GraRS,dihydrolipoyllysine-residue acetyltransferase,8846.42,13.11,0.55,1.47,0.15,3.80,0.000144998,2.38E-04
USA300HOU_1521,SACOL1564,recN,argR-recN,ArgR,DNA repair protein RecN,6064.06,12.57,0.29,1.22,0.14,2.12,0.033688461,4.47E-02
USA300HOU_1522,SACOL1565,argR,argR-recN,ArgR,arginine repressor,1725.05,10.75,0.08,1.05,0.14,0.53,0.59403049,6.37E-01
USA300HOU_1531,SACOL1588,pepQ2,efp pepQ2,-,proline dipeptidase,2503.18,11.29,0.38,1.30,0.13,2.88,0.003966587,5.85E-03
USA300HOU_1532,SACOL1589,USA300HOU_1532,SACOL1589 SACOL1590,-,hypothetical protein,701.19,9.45,-0.26,0.84,0.16,-1.56,0.118220723,1.46E-01
USA300HOU_1533,SACOL1590,USA300HOU_1533,SACOL1589 SACOL1590,-,hypothetical protein,211.90,7.73,-0.09,0.94,0.23,-0.40,0.690654156,7.29E-01
USA300HOU_1534,SACOL1591,lipM,lipM,-,lipoate-protein ligase A family protein,1914.10,10.90,0.45,1.37,0.14,3.27,0.001072025,1.65E-03
USA300HOU_1535,SACOL1592,USA300HOU_1535,SACOL1592,-,rhodanese-like domain-containing protein,2805.12,11.45,0.10,1.07,0.13,0.74,0.457144455,5.06E-01
USA300HOU_1542,-,comGE,-,-,hypothetical protein,32.04,5.00,-0.85,0.56,0.47,-1.81,0.070799516,8.99E-02
USA300HOU_1547,SACOL1602,USA300HOU_1547,SACOL1602 SACOL1603 glk SACOL1605 gluP fthC,-,metallo-beta-lactamase,2956.72,11.53,-0.42,0.75,0.14,-3.00,0.002744307,4.10E-03
USA300HOU_1548,SACOL1603,USA300HOU_1548,SACOL1602 SACOL1603 glk SACOL1605 gluP fthC,-,hypothetical protein,1527.87,10.58,-0.51,0.70,0.16,-3.28,0.001046958,1.62E-03
USA300HOU_1554,SACOL1609,pbp3,pbp3,-,penicillin-binding protein 3,4038.64,11.98,-0.02,0.99,0.16,-0.10,0.917494623,9.28E-01
USA300HOU_1561,SACOL1616,USA300HOU_1561,SACOL1616 trmK,-,hypothetical protein,3526.60,11.78,-0.05,0.97,0.15,-0.34,0.733798036,7.69E-01
USA300HOU_1562,SACOL1617,trmK,SACOL1616 trmK,-,hypothetical protein,2038.68,10.99,-0.17,0.89,0.17,-0.98,0.326062731,3.73E-01
USA300HOU_1563,SACOL1618,sigA,rpoD (sigA),-,RNA polymerase sigma factor SigA,11526.89,13.49,-0.29,0.82,0.14,-2.09,0.036934243,4.87E-02
USA300HOU_1564,SACOL1619,dnaG,dnaG yqfL SACOL1621,-,DNA primase,10631.24,13.38,-0.19,0.88,0.15,-1.23,0.219528797,2.59E-01
USA300HOU_1566,SACOL1622,glyS,glyS,-,glycyl-tRNA synthetase,9858.22,13.27,0.11,1.08,0.13,0.86,0.388098166,4.37E-01
USA300HOU_1567,SACOL1623,recO,recO era cdd dgkA ybeY phoH,-,RecO family DNA repair protein,3108.08,11.60,0.43,1.34,0.14,2.99,0.002816149,4.20E-03
USA300HOU_1568,SACOL1624,era,recO era cdd dgkA ybeY phoH,-,GTP-binding protein Era,4986.70,12.28,0.35,1.28,0.13,2.67,0.007483532,1.07E-02
USA300HOU_1569,SACOL1625,cdd,recO era cdd dgkA ybeY phoH,-,cytidine deaminase,1943.34,10.92,0.09,1.07,0.15,0.62,0.533019699,5.79E-01
USA300HOU_1570,SACOL1626,dgkA,recO era cdd dgkA ybeY phoH,-,diacylglycerol kinase,1303.60,10.35,-0.08,0.94,0.14,-0.59,0.554203493,5.99E-01
USA300HOU_1571,SACOL1627,ybeY,recO era cdd dgkA ybeY phoH,-,hypothetical protein,1973.24,10.95,-0.33,0.80,0.14,-2.25,0.024243363,3.29E-02
USA300HOU_1577,SACOL1633,mtaB,mtaB rsmE prmA dnaJ dnaK grpE hrcA,GraRS,possible 2-methylthioadenine synthase,9357.87,13.19,0.42,1.34,0.15,2.88,0.003996026,5.89E-03
USA300HOU_1584,SACOL1640,hemN,hemN,-,coproporphyrinogen III oxidase,1042.93,10.03,-0.55,0.68,0.16,-3.46,0.000543361,8.54E-04
USA300HOU_1589,SACOL1644,comEC,holA comEC comEB comEA ubiE rsfS yqeK nadD yhbY aroE yqeH yqeG mtn,-,competence protein ComEC/Rec2,611.65,9.26,0.30,1.23,0.19,1.58,0.113962636,1.41E-01
USA300HOU_1592,SACOL1647,ubiE,holA comEC comEB comEA ubiE rsfS yqeK nadD yhbY aroE yqeH yqeG mtn,-,putative methyltransferase,5196.02,12.34,0.01,1.00,0.15,0.04,0.965515214,9.70E-01
USA300HOU_1593,SACOL1648,rsfS,holA comEC comEB comEA ubiE rsfS yqeK nadD yhbY aroE yqeH yqeG mtn,-,hypothetical protein,3461.37,11.76,0.04,1.03,0.13,0.34,0.737370251,7.72E-01
USA300HOU_1601,-,USA300HOU_1601,-,-,hypothetical protein,10.28,3.36,0.16,1.12,0.75,0.22,0.827411292,8.51E-01
USA300HOU_1605,SACOL1660,lamB,SACOL1659 lamB accC accB ahs2 dur1,MgrA,possible lactam utilization protein,242.99,7.92,-0.29,0.82,0.20,-1.46,0.144530622,1.76E-01
USA300HOU_1606,SACOL1661,accC,SACOL1659 lamB accC accB ahs2 dur1,MgrA,biotin carboxylase,508.78,8.99,-0.44,0.74,0.16,-2.67,0.007491113,1.07E-02
USA300HOU_1610,SACOL1665,greA,greA udk SACOL1667 SACOL1668 SACOL1669,AgrA,transcription elongation factor GreA,6340.65,12.63,0.13,1.10,0.16,0.85,0.394973024,4.43E-01
USA300HOU_1611,SACOL1666,udk,greA udk SACOL1667 SACOL1668 SACOL1669,AgrA,uridine kinase,6367.32,12.64,-0.10,0.93,0.14,-0.71,0.476934452,5.24E-01
USA300HOU_1612,SACOL1667,USA300HOU_1612,greA udk SACOL1667 SACOL1668 SACOL1669,AgrA,U32 family peptidase,7584.40,12.89,-0.25,0.84,0.14,-1.77,0.076594195,9.68E-02
USA300HOU_1613,SACOL1668,USA300HOU_1613,greA udk SACOL1667 SACOL1668 SACOL1669,AgrA,U32 family peptidase,3868.20,11.92,-0.36,0.78,0.16,-2.21,0.027303557,3.68E-02
USA300HOU_1615,SACOL1670,USA300HOU_1615,SACOL1670 yrrK SACOL1672 alaS,-,hypothetical protein,6624.19,12.69,0.15,1.11,0.15,1.03,0.302754909,3.49E-01
USA300HOU_1616,SACOL1671,yrrK,SACOL1670 yrrK SACOL1672 alaS,-,Holliday junction resolvase,7531.57,12.88,0.27,1.20,0.14,1.84,0.066385015,8.45E-02
USA300HOU_1617,SACOL1672,USA300HOU_1617,SACOL1670 yrrK SACOL1672 alaS,-,hypothetical protein,4606.68,12.17,0.35,1.28,0.15,2.35,0.018720665,2.57E-02
USA300HOU_1621,SACOL1676,mnmA,trmU iscS,AgrA,tRNA-specific 2-thiouridylase MnmA,4349.80,12.09,-0.04,0.98,0.13,-0.28,0.779565766,8.07E-01
USA300HOU_1622,SACOL1677,iscS,trmU iscS,AgrA,class V aminotransferase,2898.48,11.50,-0.15,0.90,0.16,-0.94,0.34666238,3.94E-01
USA300HOU_1630,SACOL1687,lytH,lytH dtd relA2,-,N-acetylmuramoyl-L-alanine amidase,2793.07,11.45,-0.40,0.76,0.16,-2.54,0.011021752,1.55E-02
USA300HOU_1631,SACOL1688,dtd,lytH dtd relA2,-,D-tyrosyl-tRNA(Tyr) deacylase,2780.22,11.44,-0.05,0.97,0.14,-0.38,0.706243057,7.43E-01
USA300HOU_1632,SACOL1689,relA,lytH dtd relA2,-,GTP pyrophosphokinase,5999.73,12.55,-0.36,0.78,0.13,-2.76,0.005805542,8.39E-03
USA300HOU_1635,-,USA300HOU_1635,-,-,hypothetical protein,0.86,-0.21,-0.73,0.60,1.55,-0.47,0.639606509,6.80E-01
USA300HOU_1637,SACOL1693,yajC,yajC tgt queA ruvB ruvA thrR obgE,-,"preprotein translocase, YajC subunit",4960.51,12.28,-0.51,0.70,0.14,-3.73,0.000193202,3.14E-04
USA300HOU_1649,-,USA300HOU_1649,-,-,hypothetical protein,285.76,8.16,0.19,1.14,0.21,0.91,0.360954432,4.09E-01
USA300HOU_1650,SACOL1705,USA300HOU_1650,SACOL1705,VraSR,hypothetical protein,675.87,9.40,0.42,1.34,0.22,1.94,0.052592958,6.78E-02
USA300HOU_1651,SACOL1706,USA300HOU_1651,SACOL1706,-,hypothetical protein,998.68,9.96,-0.23,0.85,0.19,-1.26,0.206917744,2.46E-01
USA300HOU_1652,SACOL1707,radC,radC comC,-,DNA repair protein RadC,76.39,6.26,-0.71,0.61,0.41,-1.75,0.080176404,1.01E-01
USA300HOU_1654,SACOL1709,folC,folC valS,-,folylpolyglutamate synthase/dihydrofolate synthase,8668.35,13.08,-0.27,0.83,0.14,-1.93,0.053090169,6.84E-02
USA300HOU_1655,SACOL1710,valS,folC valS,-,valyl-tRNA synthetase,14018.44,13.78,-0.49,0.71,0.14,-3.48,0.000494377,7.80E-04
USA300HOU_1659,SACOL1714,hemL,hemLBDCXA ,MgrA,"glutamate-1-semialdehyde 2,1-aminomutase",6155.81,12.59,0.00,1.00,0.13,0.02,0.985143382,9.87E-01
USA300HOU_1660,SACOL1715,hemB,hemLBDCXA ,MgrA,porphobilinogen synthase,2638.25,11.37,-0.16,0.90,0.14,-1.16,0.245804813,2.87E-01
USA300HOU_1666,SACOL1721,clpX,clpX tig,-,ATP-dependent protease ATP-binding subunit ClpX,21500.55,14.39,0.32,1.24,0.13,2.43,0.014919295,2.08E-02
USA300HOU_1684,SACOL1745,pykA,pyk pfkA,-,pyruvate kinase,27228.00,14.73,-0.33,0.80,0.15,-2.20,0.027488399,3.70E-02
USA300HOU_1685,SACOL1746,pfkA,pyk pfkA,-,6-phosphofructokinase,7499.78,12.87,-0.26,0.84,0.15,-1.73,0.084385295,1.06E-01
USA300HOU_1695,SACOL1757,USA300HOU_1695,SACOL1757,-,hypothetical protein,50.09,5.65,0.17,1.12,0.38,0.44,0.656475885,6.96E-01
USA300HOU_1698,SACOL1760,ackA,ackA SACOL1761,GraRS,acetate kinase,11157.89,13.45,-0.01,0.99,0.13,-0.08,0.940178375,9.49E-01
USA300HOU_1704,SACOL1766,USA300HOU_1704,SACOL1766,-,hypothetical protein,0.10,-3.36,-0.69,0.62,1.39,-0.49,0.621179081,6.62E-01
USA300HOU_1705,SACOL1767,ezrA,ezrA,-,septation ring formation regulator EzrA,9369.47,13.19,-0.27,0.83,0.15,-1.78,0.075790549,9.58E-02
USA300HOU_1712,SACOL1773,serA,SACOL1772 serA,CodY,D-3-phosphoglycerate dehydrogenase,1105.09,10.11,0.44,1.35,0.16,2.77,0.005569862,8.07E-03
USA300HOU_1713,-,USA300HOU_1713,-,-,hypothetical protein,28.83,4.85,0.21,1.15,0.45,0.46,0.647469432,6.87E-01
USA300HOU_1714,SACOL1774,USA300HOU_1714,SACOL1774 ptaA,CodY,HAD superfamily hydrolase,1419.51,10.47,-0.15,0.90,0.14,-1.02,0.30904042,3.56E-01
USA300HOU_1716,SACOL1777,htrA1,htrA1,MgrA,Trypsin-like serine endoprotease,1309.69,10.36,-0.13,0.91,0.18,-0.71,0.478941404,5.26E-01
USA300HOU_1719,-,USA300HOU_1719,-,-,hypothetical protein,1.42,0.50,-1.70,0.31,1.47,-1.15,0.248758159,2.91E-01
USA300HOU_1726,-,USA300HOU_1726,-,-,hypothetical protein,3.64,1.86,-0.86,0.55,1.16,-0.74,0.458036436,5.06E-01
USA300HOU_1727,SACOL1787,aroA2,aroA2,-,bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase,3529.82,11.79,-0.39,0.76,0.13,-3.00,0.002671443,4.00E-03
USA300HOU_1730,SACOL1790,murC,murC ftsK pheT2 SACOL1793 SACOL1794 pepA1,-,UDP-N-acetylmuramate--L-alanine ligase,9468.52,13.21,-0.22,0.86,0.13,-1.71,0.088046876,1.10E-01
USA300HOU_1731,SACOL1791,ftsK,murC ftsK pheT2 SACOL1793 SACOL1794 pepA1,-,FtsK/SpoIIIE (DNA translocase stage III) family protein,14789.88,13.85,-0.51,0.70,0.14,-3.71,0.000209347,3.39E-04
USA300HOU_1732,SACOL1792,pheT2,murC ftsK pheT2 SACOL1793 SACOL1794 pepA1,-,phenylalanyl-tRNA synthetase (beta subunit),1658.86,10.70,-0.56,0.68,0.15,-3.78,0.000157292,2.58E-04
USA300HOU_1740,-,USA300HOU_1740,-,-,hypothetical protein,0.70,-0.52,0.10,1.07,1.55,0.06,0.950747524,9.58E-01
USA300HOU_1744,SACOL1803,rsuA,SACOL1802 rsuA SACOL1804,SigB,ribosomal small subunit pseudouridine synthase A,3314.04,11.69,-0.28,0.82,0.13,-2.17,0.029918791,4.00E-02
USA300HOU_1747,SACOL1806,sasC,sasC,MgrA,cell surface anchored protein,778.75,9.61,-0.20,0.87,0.17,-1.20,0.230861465,2.71E-01
USA300HOU_1748,SACOL1807,USA300HOU_1748,SACOL1807 leuS,-,rhodanese-like domain-containing protein,924.82,9.85,0.47,1.38,0.17,2.70,0.0069401,9.95E-03
USA300HOU_1749,SACOL1808,leuS,SACOL1807 leuS,-,leucyl-tRNA synthetase,5772.43,12.49,0.36,1.29,0.17,2.20,0.028096952,3.77E-02
USA300HOU_1751,SACOL1810,USA300HOU_1751,SACOL1810 SACOL1811,-,hypothetical protein,2013.59,10.98,-0.53,0.69,0.13,-4.06,4.87528E-05,8.34E-05
USA300HOU_1752,SACOL1811,USA300HOU_1752,SACOL1810 SACOL1811,-,hypothetical protein,1247.43,10.28,-0.51,0.70,0.14,-3.60,0.000317991,5.08E-04
USA300HOU_1755,SACOL1814,pldB,pldB SACOL1815,-,lysophospholipase,3194.50,11.64,0.40,1.32,0.14,2.87,0.004055245,5.97E-03
USA300HOU_1756,SACOL1816,putA,putA,-,proline dehydrogenase,4224.16,12.04,0.50,1.41,0.53,0.93,0.350128065,3.97E-01
USA300HOU_1761,SACOL1821,USA300HOU_1761,SACOL1821,SigB,hypothetical protein,121.88,6.93,-0.60,0.66,0.31,-1.93,0.053767146,6.91E-02
USA300HOU_1762,-,USA300HOU_1762,-,-,hypothetical protein,6.01,2.59,-2.01,0.25,0.98,-2.06,0.03975981,5.21E-02
USA300HOU_1768,SACOL1829,USA300HOU_1768,SACOL1829,-,hypothetical protein,521.47,9.03,-0.47,0.72,0.20,-2.30,0.021268221,2.90E-02
USA300HOU_1771,-,USA300HOU_1771,-,-,hypothetical protein,314.42,8.30,-0.27,0.83,0.20,-1.33,0.184720532,2.21E-01
USA300HOU_1778,SACOL1838,pckA,pckA,-,phosphoenolpyruvate carboxykinase,5945.07,12.54,0.67,1.59,0.42,1.59,0.112414488,1.39E-01
USA300HOU_1780,SACOL1840,USA300HOU_1780,SACOL1840 ytkD,-,hypothetical protein,460.48,8.85,-0.54,0.69,0.20,-2.65,0.008026768,1.14E-02
USA300HOU_1783,SACOL1843,menC,menCE,-,o-succinylbenzoic acid (OSB) synthetase,1052.59,10.04,0.46,1.38,0.15,3.01,0.002575161,3.86E-03
USA300HOU_1784,SACOL1844,menE,menCE,-,O-succinylbenzoic acid--CoA ligase,881.56,9.78,-0.42,0.75,0.15,-2.77,0.005597913,8.11E-03
USA300HOU_1790,SACOL1850,USA300HOU_1790,SACOL1850,-,hypothetical protein,136.10,7.09,-0.51,0.70,0.29,-1.74,0.081680973,1.03E-01
USA300HOU_1792,-,USA300HOU_1792,-,-,hypothetical protein,23.80,4.57,-0.16,0.89,0.55,-0.29,0.770496676,8.00E-01
USA300HOU_1796,-,USA300HOU_1796,-,-,hypothetical protein,9.50,3.25,-0.25,0.84,0.78,-0.33,0.744091807,7.76E-01
USA300HOU_1801,SACOL1864,splF,splF splE splD splC splB splA,AgrA,serine protease SplF,12.84,3.68,-0.41,0.75,0.81,-0.50,0.617058987,6.59E-01
USA300HOU_1802,SACOL1865,splE,splF splE splD splC splB splA,AgrA,serine protease SplE,12.87,3.69,-1.22,0.43,0.83,-1.48,0.140094674,1.71E-01
USA300HOU_1803,SACOL1866,splD,splF splE splD splC splB splA,AgrA,serine protease SplD,16.01,4.00,-0.73,0.60,0.69,-1.05,0.291739867,3.37E-01
USA300HOU_1804,SACOL1867,splC,splF splE splD splC splB splA,AgrA,serine protease SplC,15.31,3.94,-0.23,0.85,0.65,-0.36,0.718265277,7.55E-01
USA300HOU_1805,SACOL1868,splB,splF splE splD splC splB splA,AgrA,serine protease SplB,19.60,4.29,-0.41,0.75,0.63,-0.65,0.512623137,5.60E-01
USA300HOU_1806,SACOL1869,splA,splF splE splD splC splB splA,AgrA,serine protease SplA,10.13,3.34,0.23,1.17,0.81,0.28,0.77985077,8.07E-01
USA300HOU_1812,SACOL1875,epiD,epiGEFPDCBA,SigB,lantibiotic epidermin biosynthesis protein EpiD,33.09,5.05,0.04,1.02,0.49,0.07,0.942464927,9.51E-01
USA300HOU_1813,SACOL1876,epiC,epiGEFPDCBA,SigB,lantibiotic epidermin biosynthesis protein EpiC,47.08,5.56,-0.20,0.87,0.41,-0.48,0.628585443,6.69E-01
USA300HOU_1814,SACOL1877,epiB,epiGEFPDCBA,SigB,lantibiotic epidermin biosynthesis protein EpiB,82.29,6.36,-0.58,0.67,0.34,-1.73,0.083422072,1.05E-01
USA300HOU_1816,-,USA300HOU_1816,-,-,hypothetical protein,1.32,0.40,-0.23,0.86,1.43,-0.16,0.874403579,8.89E-01
USA300HOU_1817,SACOL1880,lukD,lukD lukE,-,leukotoxin LukD,37.15,5.22,-0.66,0.63,0.49,-1.35,0.177198444,2.13E-01
USA300HOU_1818,SACOL1881,lukE,lukD lukE,-,leukotoxin LukE,29.91,4.90,-0.89,0.54,0.47,-1.92,0.055017899,7.06E-02
USA300HOU_1819,SACOL1882,USA300HOU_1819,SACOL1882 SACOL1883,-,hypothetical protein,80.95,6.34,0.61,1.52,0.30,2.00,0.045988193,5.98E-02
USA300HOU_1821,-,USA300HOU_1821,-,-,hypothetical protein,5.64,2.50,-0.24,0.84,0.93,-0.26,0.793667826,8.21E-01
USA300HOU_1823,SACOL1887,hemY,hemEHY,PerR,protoporphyrinogen oxidase,3029.54,11.56,0.17,1.12,0.15,1.09,0.27648445,3.21E-01
USA300HOU_1824,SACOL1888,hemH,hemEHY,PerR,ferrochelatase,1596.33,10.64,0.24,1.18,0.15,1.57,0.115638179,1.43E-01
USA300HOU_1825,SACOL1889,hemE,hemEHY,PerR,uroporphyrinogen decarboxylase,1384.16,10.43,-0.06,0.96,0.14,-0.41,0.680848657,7.19E-01
USA300HOU_1826,SACOL1890,USA300HOU_1826,hemEHY,-,hypothetical protein,59.35,5.89,-0.50,0.71,0.34,-1.48,0.139481222,1.70E-01
USA300HOU_1828,SACOL1892,ecsB,ecsBA,MgrA,"ABC transporter, permease",2194.10,11.10,-0.47,0.72,0.13,-3.63,0.000281784,4.53E-04
USA300HOU_1847,SACOL1910,USA300HOU_1847,SACOL1910,-,hypothetical protein,4.03,2.01,-2.14,0.23,1.17,-1.82,0.068179342,8.66E-02
USA300HOU_1853,SACOL1916,artM,artQM,ArgR,"amino acid ABC transporter, membrane protein",1789.45,10.81,0.55,1.46,0.21,2.61,0.009062511,1.28E-02
USA300HOU_1855,SACOL1918,tnp3,tnp3,-,IS1181 transposase,150.58,7.23,-0.11,0.92,0.27,-0.41,0.67920596,7.18E-01
USA300HOU_1860,SACOL1923,USA300HOU_1860,SACOL1923,-,hypothetical protein,2239.94,11.13,-0.26,0.83,0.18,-1.47,0.140465008,1.71E-01
USA300HOU_1865,SACOL1928,tagG,tagG tagH SACOL1930 recX,GraRS,"teichoic acid ABC superfamily ATP binding cassette transporter, membrane protein",1929.81,10.91,0.23,1.17,0.13,1.71,0.086482704,1.08E-01
USA300HOU_1866,SACOL1929,tagH,tagG tagH SACOL1930 recX,GraRS,ABC-type polysaccharide/polyol phosphate transport system ATPase component-like protein,2354.11,11.20,0.01,1.00,0.14,0.05,0.961347088,9.66E-01
USA300HOU_1867,SACOL1930,USA300HOU_1867,tagG tagH SACOL1930 recX,GraRS,hypothetical protein,674.26,9.40,0.29,1.22,0.18,1.58,0.1133804,1.40E-01
USA300HOU_1871,SACOL1934,USA300HOU_1871,SACOL1934,-,hypothetical protein,245.94,7.94,-0.05,0.96,0.28,-0.18,0.853562134,8.71E-01
USA300HOU_1872,SACOL1935,USA300HOU_1872,SACOL1935,-,hypothetical protein,1103.22,10.11,-0.46,0.73,0.17,-2.80,0.005174392,7.52E-03
USA300HOU_1876,-,USA300HOU_1876,-,-,hypothetical protein,16.69,4.06,0.04,1.03,0.59,0.06,0.949631623,9.57E-01
USA300HOU_1879,SACOL1941,yihY,yihY,SigB,hypothetical protein,2077.45,11.02,0.37,1.29,0.18,2.06,0.038930614,5.11E-02
USA300HOU_1883,SACOL1945,vraU,vraRSTU,VraSR,hypothetical protein,587.48,9.20,0.47,1.39,0.19,2.48,0.013143252,1.84E-02
USA300HOU_1884,SACOL1946,map,map,-,methionine aminopeptidase,2195.39,11.10,0.14,1.10,0.14,0.97,0.330019208,3.77E-01
USA300HOU_1886,-,USA300HOU_1886,-,-,hypothetical protein,23.17,4.53,0.94,1.92,0.50,1.88,0.060073891,7.68E-02
USA300HOU_1887,SACOL1948,USA300HOU_1887,SACOL1948 SACOL1949,-,hypothetical protein,64.43,6.01,0.17,1.13,0.34,0.50,0.615135231,6.57E-01
USA300HOU_1888,SACOL1949,USA300HOU_1888,SACOL1948 SACOL1949,-,hypothetical protein,19.95,4.32,-0.42,0.75,0.55,-0.78,0.436426578,4.86E-01
USA300HOU_1889,SACOL1950,gatD,gatD murT,-,cobyric acid synthase,3354.34,11.71,0.09,1.07,0.14,0.63,0.527305754,5.74E-01
USA300HOU_1890,SACOL1951,murT,gatD murT,-,Mur ligase,5058.74,12.30,0.03,1.02,0.15,0.21,0.833557516,8.55E-01
USA300HOU_1892,SACOL1953,USA300HOU_1892,SACOL1953,-,hypothetical protein,14.80,3.89,-0.23,0.85,0.63,-0.36,0.718210709,7.55E-01
USA300HOU_1903,SACOL1963,putP,putP,CodY,high affinity proline permease,3848.15,11.91,-0.42,0.75,0.15,-2.83,0.004667692,6.82E-03
USA300HOU_1904,SACOL1964,camS,camS ligA pcrA pcrB,-,pheromone lipoprotein CamS,5008.73,12.29,-0.19,0.88,0.14,-1.35,0.177332762,2.13E-01
USA300HOU_1912,SACOL1972,USA300HOU_1912,SACOL1972 SACOL1973,-,hypothetical protein,675.27,9.40,-0.12,0.92,0.18,-0.67,0.50003469,5.47E-01
USA300HOU_1913,SACOL1973,USA300HOU_1913,SACOL1972 SACOL1973,-,hypothetical protein,1877.38,10.87,-0.12,0.92,0.16,-0.74,0.458532772,5.06E-01
USA300HOU_1919,SACOL1980,USA300HOU_1919,SACOL1980,-,hypothetical protein,363.68,8.51,-0.06,0.96,0.20,-0.31,0.758966983,7.90E-01
USA300HOU_1920,SACOL1981,pncA,pncA,-,isochorismatase,4420.44,12.11,-0.25,0.84,0.16,-1.58,0.115212209,1.42E-01
USA300HOU_1921,SACOL1982,ppaC,ppaC,-,manganese-dependent inorganic pyrophosphatase,11735.38,13.52,0.55,1.47,0.15,3.62,0.000290338,4.66E-04
USA300HOU_1922,SACOL1983,USA300HOU_1922,SACOL1983,-,hypothetical protein,6.16,2.62,-1.15,0.45,0.91,-1.26,0.206023147,2.45E-01
USA300HOU_1926,SACOL1986,yolD,yolD,-,hypothetical protein,172.03,7.43,0.42,1.34,0.23,1.82,0.068241968,8.67E-02
USA300HOU_1928,SACOL1988,USA300HOU_1928,SACOL1988,-,hypothetical protein,260.02,8.02,-0.32,0.80,0.22,-1.44,0.150874857,1.83E-01
USA300HOU_1934,SACOL1994,pmtC,ytrA pmtABCD,YtrA,"ABC transporter,  ATP-binding protein",1730.13,10.76,0.51,1.42,0.16,3.13,0.001767953,2.67E-03
USA300HOU_1935,SACOL1995,pmtB,ytrA pmtABCD,YtrA,hypothetical membrane protein,696.64,9.44,0.27,1.20,0.19,1.38,0.168388085,2.02E-01
USA300HOU_1936,SACOL1996,pmtA,ytrA pmtABCD,YtrA,"ABC transporter,  ATP-binding protein",1293.24,10.34,0.50,1.41,0.18,2.83,0.004726849,6.90E-03
USA300HOU_1937,SACOL1997,ytrA,ytrA pmtABCD,YtrA,GntR family transcriptional regulator,548.85,9.10,0.55,1.46,0.19,2.97,0.002968087,4.42E-03
USA300HOU_1940,SACOL2000,USA300HOU_1940,SACOL2000,-,hypothetical protein,5247.97,12.36,0.02,1.02,0.14,0.17,0.867744497,8.84E-01
USA300HOU_1944,-,USA300HOU_1944,-,-,hypothetical protein,374.99,8.55,0.48,1.39,0.18,2.65,0.007954057,1.13E-02
USA300HOU_1949,-,sak,-,-,staphylokinase,280.23,8.13,0.23,1.18,0.19,1.20,0.229339017,2.70E-01
USA300HOU_1951,-,ami,-,-,lytic enzyme,16.65,4.06,0.58,1.49,0.67,0.87,0.386637184,4.35E-01
USA300HOU_1952,-,USA300HOU_1952,-,-,hypothetical protein,5.94,2.57,0.87,1.83,0.92,0.95,0.344353677,3.92E-01
USA300HOU_1956,-,USA300HOU_1956,-,-,hypothetical protein,25.12,4.65,-0.33,0.79,0.48,-0.69,0.490585667,5.38E-01
USA300HOU_1957,-,USA300HOU_1957,-,-,hypothetical protein,356.05,8.48,-0.40,0.76,0.19,-2.15,0.031611015,4.21E-02
USA300HOU_1958,-,USA300HOU_1958,-,-,hypothetical protein,49.16,5.62,-0.13,0.91,0.38,-0.35,0.728693765,7.65E-01
